Player,Squad,90s,Yellow cards,Red cards,Two yellow cards,Fouls committed,Fouls drawn,Offsides,Crosses attempted,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Ball recoveries,Aerial duels won,Aerial duels lost,Aerial duels won percentage
Susan Phonsongkham,Perth Glory,3.1,0.32,0,0,1.61,0.97,0.32,1.29,0,1.61,0,0,0,3.87,0,1.61,0
Laura Pickett,Melb Victory,11.5,0,0,0,0.7,0.35,0,0.87,1.91,3.13,0,0,0,5.39,0.52,0.43,54.5
Rhianna Pollicina,Melb City,10.8,0,0,0,1.02,0.74,0.09,1.48,0.28,1.94,0,0,0,3.89,0.46,0.74,38.5
Evdokiya Popadinova,Brisbane Roar,11.8,0.08,0,0,1.53,1.44,0.68,0.68,0.51,1.44,0,0,0,4.07,0.76,1.02,42.9
Avaani Prakash,Western United,1.8,0,0,0,1.11,3.33,0,0.56,0,3.89,0,0,0,5.56,0.56,0.56,50
Olivia Price,W Sydney,14.5,0,0,0,1.17,0.76,0.07,2.14,0.83,1.52,0,0,0,4.07,0.34,0.62,35.7
Emily Pringle,Brisbane Roar,16.2,0.06,0,0,0.31,1.23,0.49,3.27,0.68,0.74,0,0,0,5.25,0.56,0.68,45
Natasha Prior,Newcastle Jets,14.2,0.21,0.07,0,0.42,0.28,0.07,0,1.2,0.92,0,0,0,5.56,1.34,0.85,61.3
Leia Puxty,Central Coast Mariners,3.8,0,0,0,0.79,1.05,0,1.58,1.05,2.63,0,0,0,2.89,0.79,0.79,50
Tess Quilligan,Central Coast Mariners,9.9,0,0,0,1.31,0.2,0,0.2,1.31,1.92,0,0,0,6.77,1.11,0.91,55
Annalise Rasmussen,Central Coast Mariners,15.9,0,0,0,1.26,1.01,0.69,0.44,0.31,0.63,0.06,0,0,3.14,0.75,0.5,60
Taylor Ray,Central Coast Mariners,23,0.04,0,0,0.26,0.52,0.04,2.26,1.35,1.13,0,0,0,6.17,0.48,0.57,45.8
Keeley Richards,Brisbane Roar,6.7,0,0,0,0,0.15,0,0,0,0,0,0,0,0.9,0,0,0
Brianne Riley,Central Coast Mariners,4.8,0.21,0,0,0.83,1.04,0.21,1.67,2.92,1.46,0,0,0,5.21,0,0.21,0
Emily Roach,Western United,5.3,0,0,0,1.89,0.75,0.19,0.19,1.89,2.08,0.19,0,0,6.23,0.38,0.38,50
Emma Robers,Canberra Utd,21.1,0.05,0,0,0.57,0.28,0,1.99,1.18,1.9,0,0,0,5.64,1.23,0.47,72.2
Morgan Roberts,Perth Glory,1.6,0,0,0,0.63,1.25,2.5,1.25,0.63,1.25,0,0,0,3.13,0.63,1.88,25
Tiahna Robertson,Newcastle Jets,8.1,0,0,0,0,0.86,0,0,0,0,0,0,0,4.2,0.86,0.12,87.5
Karly Roestbakken,Melb City,16.8,0.06,0,0,0.77,0.24,0.06,1.25,0.95,1.31,0,0,0,5.42,0.71,0.6,54.5
Isabel Rolley,Newcastle Jets,0.5,0,0,0,2,0,0,2,4,2,0,0,0,6,0,4,0
Sarah Rowe,Central Coast Mariners,13.5,0.15,0,0,0.96,0.89,0,1.93,1.33,1.63,0,0.07,0,5.11,0.44,0.3,60
Cushla Rue,W Sydney,19.7,0,0,0,1.02,1.68,0.61,2.28,0.71,1.47,0.05,0,0,4.82,0.51,0.66,43.5
Sofia Sakalis,Melb Victory,2.2,0.91,0,0,0.91,3.18,0.45,0.91,0.91,0.45,0,0,0,5,0.45,1.36,25
Julia Sardo,Western United,16.1,0.06,0.06,0,0.5,0.56,0,1.3,2.17,1.99,0,0,0,5.03,0.99,1.24,44.4
Nanako Sasaki,Adelaide Utd,7.1,0.14,0,0,0.99,1.13,0,1.97,1.27,1.83,0,0,0,6.62,0.99,0.7,58.3
Sienna Saveska,W Sydney,17.2,0.06,0,0,0.7,0.35,0,3.84,0.41,1.1,0,0,0,3.72,0.41,1.34,23.3
Jessica Seaman,Central Coast Mariners,2.6,0,0,0,0.38,0,0,0,1.92,1.15,0,0.38,0,5.77,0.38,0.38,50
Keely Segavcic,W Sydney,1.6,0,0,0,0,0.63,0,0,0,0,0,0,0,1.88,1.88,0.63,75
Olivia Sekany,Brisbane Roar,16.3,0,0,0,0,0.12,0,0,0,0,0,0,0,1.04,0.31,0.06,83.3
Lillian Skelly,Canberra Utd,1.4,0,0,0,0.71,0,0,3.57,0,0.71,0,0,0,2.14,0.71,0,100
Mariana Speckmaier,Melb City,18.5,0.05,0,0,1.14,1.03,0.65,0.81,0.92,1.3,0,0,0,3.51,1.14,0.92,55.3
Anika Stajcic,W Sydney,0.2,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
Mary Stanic-Floody,Canberra Utd,14.4,0.07,0,0,0.14,0.42,0,2.85,0.14,0.83,0,0,0,3.19,0.63,0.56,52.9
Rebekah Stott,Melb City,19.3,0.05,0,0,0.47,0.52,0,0.1,1.35,1.09,0,0.05,0,6.53,0.88,0.93,48.6
Rubi Sullivan,Sydney FC,1.1,0,0,0,0,1.82,0,0,3.64,1.82,0,0,0,5.45,0,0.91,0
Miku Sunaga,Perth Glory,7.9,0.13,0,0,1.01,1.01,0.13,0.25,1.39,1.14,0.13,0,0,1.9,0.38,1.27,23.1
Caley Tallon-Henniker,Sydney FC,10.2,0,0,0,0.59,0,0.29,2.25,0.49,0.78,0,0,0,2.94,0.49,0.59,45.5
Danelle Tan,Brisbane Roar,0.5,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
Mebae Tanaka,Wellington Phoenix,7,0,0,0,0.86,1.57,0.14,5.86,1.71,2.14,0,0,0,7.14,0.29,0.57,33.3
Adriana Taranto,Western United,11.2,0.09,0,0,0.89,0.71,0.8,6.07,0.8,0.8,0,0,0,5.89,0.36,0.98,26.7
Melissa Taranto,Western United,14.1,0.07,0,0,1.13,1.28,0.07,1.56,0.85,2.06,0,0,0,7.02,0.78,0.92,45.8
