Player,Squad,90s,Goals,Shots attempted,Shots on Target attempted,Shots on Target percentage,Goals per Shot,Goals per Shot on Target,Average shot distance,Shots from Free kicks,Penalties scored,Penalties attempted,Expected Goals,Non-penalty xG,npxG per Shot,Goals overperformance,xG overperformance
Emily Hodgson,Adelaide Utd,21.3,0.05,0.56,0.19,33.3,0.08,0.25,19.5,0,0,0,0.05,0.05,0.09,0,0
Isabel Hodgson,Adelaide Utd,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabby Hollar,Perth Glory,10.7,0.28,3.36,0.93,27.8,0.06,0.2,15.7,0.09,0.09,0.09,0.36,0.29,0.09,-0.07,-0.1
Shay Hollman,Sydney FC,9.7,0,0.52,0,0,0,0,26.5,0,0,0,0.02,0.02,0.04,-0.02,-0.02
Dylan Holmes,Adelaide Utd,7.3,0.14,1.64,0.82,50,0,0,21.4,0,0.14,0.14,0.26,0.16,0.1,-0.12,-0.16
Isabela Hoyos,Brisbane Roar,7.4,0,0.95,0.14,14.3,0,0,12.9,0,0,0,0.07,0.07,0.07,-0.07,-0.07
Blake Hughes,Central Coast Mariners,1.1,0,0.91,0,0,0,0,35.9,0,0,0,0,0,0.02,0,0
Laura Hughes,Melb City,22.8,0.18,0.75,0.39,52.9,0.24,0.44,20.3,0,0,0,0.07,0.07,0.09,0.11,0.11
Sandra Ibargüen,Western United,2.2,0.45,0.91,0.45,50,0.5,1,8,0,0,0,0.32,0.32,0.37,0.14,0.14
Princess Ibini-Isei,Sydney FC,18,0.22,1.89,0.78,41.2,0.12,0.29,20.7,0.06,0,0,0.12,0.12,0.07,0.1,0.1
Olivia Ingham,Wellington Phoenix,1.7,0,4.12,0.59,14.3,0,0,11.3,0,0,0,0.47,0.47,0.11,-0.47,-0.47
Ashley Irwin,Central Coast Mariners,7.4,0,0.14,0,0,0,0,43.5,0,0,0,0,0,0.02,0,0
Tiana Jaber,Wellington Phoenix,19.8,0,0.15,0.1,66.7,0,0,29.3,0,0,0,0.01,0.01,0.02,-0.01,-0.01
Deven Jackson,Newcastle Jets,16,0.38,2.25,0.94,41.7,0.17,0.4,14.9,0,0,0,0.3,0.3,0.13,0.07,0.07
Grace Jale,Wellington Phoenix,18.6,0.11,2.37,0.86,36.4,0.05,0.13,22.9,0.16,0,0,0.16,0.16,0.07,-0.05,-0.05
Sally James,Canberra Utd,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alana Jancevski,Melb Victory,18.4,0.27,1.36,0.65,48,0.12,0.25,23.3,0.33,0.11,0.11,0.17,0.09,0.07,0.1,0.07
Claudia Jenkins,Adelaide Utd,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ela Jerez,Wellington Phoenix,0.5,0,2,0,0,0,0,4.9,0,0,0,0.4,0.4,0.19,-0.4,-0.4
Kahli Johnson,Western United,17.3,0.46,4.86,1.56,32.1,0.1,0.3,18,0,0,0,0.62,0.62,0.13,-0.16,-0.16
Lucy Johnson,Sydney FC,10.3,0.29,1.46,0.49,33.3,0.2,0.6,25.7,0,0,0,0.1,0.1,0.07,0.19,0.19
Grace Johnston,Perth Glory,20.5,0,0.63,0.34,53.8,0,0,26.5,0,0,0,0.02,0.02,0.04,-0.02,-0.02
Talia Kapetanellis,W Sydney,2.5,0.4,3.2,1.2,37.5,0.13,0.33,18,0,0,0,0.48,0.48,0.15,-0.08,-0.08
Tiarna Karambasis,Adelaide Utd,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
